repo,pr_number,titulo,descricao,categoria
accumulo,4121,Small improvements to new AccumuloStore related code,,REF
commons-collections,300,[COLLECTIONS-802] Fix remove failed by removing set null to currentKe…,"…y and currentValue.

The problem occur when the iterator called hasNext and return false, which set null to currentKey. Hence remove method calling parent.remove(currentKey); will not remove the current entry.
Propose to fix by removing lines setting null, other than releasing the reference earlier, can't think of other reason to set them to null.
Rename variable to be more understandable.",BUG
accumulo,4212,Better error when compaction executors are not set,"Gson returns a null array when executors either isn't defined, or is an empty string.
The code then throws an NPE when attempting to iterate through the array.
    ExecutorConfig[] execConfigs =
        new Gson().fromJson(params.getOptions().get(""executors""), ExecutorConfig[].class);

    List<Executor> tmpExec = new ArrayList<>();
    for (ExecutorConfig executorConfig : execConfigs) {

This change throws an IllegalStateException before the NPE would occur and adds an actionable exception message.
This change is only targeted to 2.1 as this situation is already handled in main.",BUG
helix,2410,use reconnect timeout for crud retry timeout,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

#2237
Description

 Here are some details about my PR, including screenshots of any UI changes:

Had an offline discussion with other committers.
Since operation retry waits for connect state change event, it will retry when reconnect succeeded and retry will be canceled when reconnect errored or timed out. There is no need to have 2 configurable timeout for CRUD operation retry and reconnect retry.
This change remove crud operation retry timeout.
Tests

 The following tests are written for this issue:

NA

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,1632,Fix #1609 dynamically reinitialize compaction services when config ch…,…anges,BUG
helix,1680,Use specific message for stoppable API partitions in initial state,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
Fixes #1679

Description

 Here are some details about my PR, including screenshots of any UI changes:
In this PR, when stoppable rest API is called and a partition on sibling node is in initial
state of the statemodel, we skip the healthcheck for that partition/instance
and put an appropriate message regarding this failure.

Tests


 The following tests are written for this issue:
TestInstanceValidationUtilInRest.testPartitionLevelCheckInitState


 The following is the result of the ""mvn test"" command on the appropriate module:
Helix-core:


[INFO] Tests run: 1264, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4,911.786 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 1264, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:21 h
[INFO] Finished at: 2021-03-23T19:24:15-07:00
[INFO] ------------------------------------------------------------------------

Helix-rest:
[INFO] Tests run: 172, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 92.044 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 172, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:39 min
[INFO] Finished at: 2021-03-24T09:59:10-07:00
[INFO] ------------------------------------------------------------------------

Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
helix,2032,Code refactor and cleanup on instance validation,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
#2022

Description

 Here are some details about my PR, including screenshots of any UI changes:
Cleanup the usage in checking instance enable/disable using InstanceValidationUtil

Tests

 The following tests are written for this issue:

(List the names of added unit/integration tests)

The following is the result of the ""mvn test"" command on the appropriate module:

[INFO] Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 59.725 s - in TestSuite
[INFO]
[INFO] Results:
[INFO]
[INFO] Tests run: 13, Failures: 0, Errors: 0, Skipped: 0
[INFO]
[INFO]
[INFO] --- jacoco-maven-plugin:0.8.6:report (generate-code-coverage-report) @ helix-view-aggregator ---
[INFO] Loading execution data file /home/qqu/workspace/qqu-helix/helix-view-aggregator/target/jacoco.exec
[INFO] Analyzed bundle 'Apache Helix :: View Aggregator' with 15 classes
[INFO] ------------------------------------------------------------------------
[INFO] Reactor Summary for Apache Helix 1.0.3-SNAPSHOT:
[INFO]
[INFO] Apache Helix ....................................... SUCCESS [  1.235 s]
[INFO] Apache Helix :: Metrics Common ..................... SUCCESS [  4.014 s]
[INFO] Apache Helix :: Metadata Store Directory Common .... SUCCESS [ 14.624 s]
[INFO] Apache Helix :: ZooKeeper API ...................... SUCCESS [02:28 min]
[INFO] Apache Helix :: Helix Common ....................... SUCCESS [  2.168 s]
[INFO] Apache Helix :: Core ............................... SUCCESS [  01:47 h]
[INFO] Apache Helix :: Admin Webapp ....................... SUCCESS [  0.932 s]
[INFO] Apache Helix :: Restful Interface .................. SUCCESS [02:49 min]
[INFO] Apache Helix :: Distributed Lock ................... SUCCESS [ 56.694 s]
[INFO] Apache Helix :: HelixAgent ......................... SUCCESS [  0.556 s]
[INFO] Apache Helix :: Recipes ............................ SUCCESS [  0.015 s]
[INFO] Apache Helix :: Recipes :: Rabbitmq Consumer Group . SUCCESS [  1.859 s]
[INFO] Apache Helix :: Recipes :: Rsync Replicated File Store SUCCESS [  2.003 s]
[INFO] Apache Helix :: Recipes :: distributed lock manager  SUCCESS [  1.975 s]
[INFO] Apache Helix :: Recipes :: distributed task execution SUCCESS [  1.756 s]
[INFO] Apache Helix :: Recipes :: service discovery ....... SUCCESS [  1.842 s]
[INFO] Apache Helix :: View Aggregator .................... SUCCESS [01:01 min]
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:55 h
[INFO] Finished at: 2022-04-11T17:25:03-07:00
[INFO] ------------------------------------------------------------------------
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,3479,TabletGroupWatcher update to handle servers being shutdown,"The change updates TabletGroupWatcher to remove servers being shutdown from being sent as candidates for assignment. There was previous logic (e.g. v1.10) that filtered the servers being shutdown from being included in the candidate list.
Verified that on t-server shutdown the tablets are unloaded and assigned to a different host (with HostRegexTableLoadBalancer).
# Configured system with sample tablets; and 5 t-servers:
# Shutdown one t-server:
$> bin/accumulo admin stop localhost:9997

# Manager logs report unload and t-server being shutdown is not in candidate list:
...
[manager.EventCoordinator] INFO : tablet 1;20230601_1728;20230601_1727 was unloaded from localhost:9997
...
[balancer.HostRegexTableLoadBalancer] DEBUG: Sending 40 tablets to balancer for table test_1 for assignment 
  within tservers [localhost:10000[10001cc843d0007], localhost:10003[10001cc843d000a],
  localhost:10004[10001cc843d000b], localhost:10005[10001cc843d000c]]

Closes #3368",BUG
accumulo,2896,ScanServerSelector - Break nested interfaces into their own files,"Fixes #2855
This PR follows the suggestion outlined in #2855 to break the nested interfaces in ScanServerSelector into their own files.",REF
httpcomponents-client,372,ResponseEntityProxy.writeTo(null) leaves connections in the correct state,"Previously writeTo would conditionally delegate to the wrapped
entity if the provided outputstream was non-null, however in the
null case the entity would not be drained and the connection would
be released potentially with bytes remaining. If this occurs in
practice, it may result in timeouts as the server expects to write
data to the response while the client is attempting to send a
request.
I haven't seen this create issues in practice, but I noticed the
oddity while working on #371.",BUG
accumulo,4282,FateIT Repo Error Test,"Closes #4266
This adds a test testRepoFails() to FateIT in 2.1 which ensures undo() is called and in the expected order when an error occurs in a Repo's call() or isReady() methods.",REF
accumulo,3141,Add id info to config check utility,"The ConfigCheckUtil.validate function logs  issues with properties, but does not include an id to help  find where the issue is occurring.  This PR adds the namespace or table id - or if an id is not provided, it assumes the property is from the site configuration.
This was noticed after upgrading a 2.1 instance with replication configured. PR #3137 is independent of these changes, but this PR does provide additional information once upgrades are possible with PR #3137
Before the changes, the logs looks like:
2022-12-27T17:55:57,477 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.name)
2022-12-27T17:55:57,477 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.password.peer1)
2022-12-27T17:55:57,477 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.peer1)
2022-12-27T17:55:57,477 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.user.peer1)
2022-12-27T17:55:57,485 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.name)
2022-12-27T17:55:57,485 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.password.peer1)
2022-12-27T17:55:57,485 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.peer1)
2022-12-27T17:55:57,485 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.user.peer1)


With these changes:
2022-12-27T22:15:30,945 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.name) for site

2022-12-27T18:49:40,286 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.name) for +accumulo
2022-12-27T18:49:40,286 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.password.peer1) for +accumulo
2022-12-27T18:49:40,286 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.peer1) for +accumulo
2022-12-27T18:49:40,286 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.user.peer1) for +accumulo
2022-12-27T18:49:40,293 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.name) for +r
2022-12-27T18:49:40,293 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.password.peer1) for +r
2022-12-27T18:49:40,293 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.peer1) for +r
2022-12-27T18:49:40,293 [conf.ConfigCheckUtil] WARN : BAD CONFIG unrecognized property key (replication.peer.user.peer1) for +r
2022-12-27T18:49:40,299 [balancer.TableLoadBalancer] INFO : Loaded class org.apache.accumulo.core.spi.balancer.SimpleLoadBalancer for table +r",REF
accumulo,2549,Migrate Minicluster module to JUnit5,Part of issue #2441 This PR contains changes for the conversion from JUnit4 to JUnit5 for the accumulo-minicluster module.,REF
accumulo,2097,Fix history test inside ShellServerIT,"Fixes #2091.
The history command was failing due to the executed commands not being written to the history file. This change will write the expected commands to the history file but solely for the history test at this moment since some tests broke with the change.",BUG
accumulo,1541,Replace use of equals() with Object.equals(),Utilize newer Java language features to simplfy code by using Object.equals() rather than equals().,REF
accumulo,1553,Simplify some VolumeManager tooling,"Replace getVolumeByPath(p).getFileSystem() with getFileSystemByPath(p)
(no caller used getVolumeByPath without immediately calling getFileSystem)
Remove redundant null checks for path argument by pushing down into
getFileSystemByPath method
Remove unneeded NonConfiguredVolume class and test
Remove unneeded (and unused) VolumeManager.getContentSummary
Rename create method with overwrite capability to make API more clear
Retain all exceptions when closing filesystems (as suppressed)
Simplify/shorten implementations for VolumeManagerImpl methods
Make VolumeManager AutoCloseable (it already had a close method)
Fix tests (ZooLockTest -> ZooLockIT, and numerous incorrect usages of
TemporaryFolder)",REF
helix,1732,Change Workflow monitor and PerInstanceResource monitor from static m…,"…etrics to dynamic metrics
Issues

 My PR addresses the following Helix issues and references them in the PR description:
Fixed #1683

Description

 Here are some details about my PR, including screenshots of any UI changes:

These PR continues to change some legacy metrics that use static metric to the standard ones that use dynamic metric. The changed monitor includes workflow monitor and perinstanceresource monitor. There are also some corresponding changes made in the test and caller functions.
Tests

The following is the result of the ""mvn test"" command on the appropriate module:
Helix-core:
[INFO] Tests run: 1268, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5,062.131 s - in TestSuite
[INFO]
[INFO] Results:
[INFO]
[INFO] Tests run: 1268, Failures: 0, Errors: 0, Skipped: 0
[INFO]
[INFO]
[INFO] --- jacoco-maven-plugin:0.8.6:report (generate-code-coverage-report) @ helix-core ---
[INFO] Loading execution data file /home/mnzhang/helix/helix-core/target/jacoco.exec
[INFO] Analyzed bundle 'Apache Helix :: Core' with 894 classes
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:24 h
[INFO] Finished at: 2021-05-11T11:27:32-07:00

Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
accumulo,2648,Address TODOs found in code,I looked through some of the TODOs in the comments and did my best to address those that I could.,REF
accumulo,1927,Document master/manager rename in Upgrader9to10 re #1922,,REF
accumulo,3403,Set finished time for GC cycles even if Exception,"Always set the finished time for GC cycles, even if an exception occurred in the cycle. This prevents a GCStatus object containing a started time, but the finished time staying the default value of 0.
Ideally, this wouldn't be a problem if we used the setter/getter methods on Thrift objects so that we can tell the difference between a 0 that has been set and one that is 0 just because it's a primitive type that defaults to 0 when unset. Thrift tracks which fields are set using isSetFieldname methods, but since we're not consistently using those, and just grabbing the value of the field without checking if it has been set, we need to make sure that we've set it to something sensible.
I believe this fixes #3374",BUG
accumulo,2213,Refactored code that does bookeeping for compacting files.,Refactored the code that tracks the status of each tablets files that are involved in compactions.  The refactoring pulled the code into its own class.  No functionality was changed.  This change was done in preparation for #2199   This change will also make it possible to write unit tests for this functionality.  Comprehensive unit test for this code can be added after changes for #2199 are made.,REF
accumulo,1746,Close #1739. Cleanup Splits file if CreateTable FaTE operation fails.,Uses the same cleanup logic that is used if the operation is successful. Closes #1739,REF
accumulo,1605,Fixes #564 adds support multiple compaction executors,"This change adds support for multiple compaction executors and
multuple concurrent compactions per tablet.
The best way to understand these changes is to look at the documentation
at core/src/main/java/org/apache/accumulo/core/spi/compaction/package-info.java
The javadocs mentioned above are hard to read in source form and are rendered at the link below.
https://keith-turner.github.io/apidocs-accumulo-564/org/apache/accumulo/core/spi/compaction/package-summary.html
The following link was added on 5/13 and goes over some use cases
https://gist.github.com/keith-turner/f6f7ca661d88b935b74f57dbdeeb07d3
The following link was added on 6/1 and documents a test I ran on a cluster with this code.
https://gist.github.com/keith-turner/29b72dfa97acad53c395dd0724b65f1c",REQ
zookeeper,2114,ZOOKEEPER-4791: Improve logging when the connection to a remote serve…,…r is closed,REF
struts,552,[WW-5165] Upgrades Spring to version 5.3.20,"Refs WW-5165
Closes #534",REF
accumulo,3813,Modified ExternalCompactionUtil.findCompactionCoordinator to use ZooCache,Closes #3783,REF
commons-collections,315,replaced merge with old mergeInPlace,"This change makes merge() act like other collections {{merge}} methods and update the item in place.  The mergeInPlace() method is removed.  Any previous use of merge should be replaced with
BloomFilter bf = bf1.copy();
bf.merge( thing );

fixes https://issues.apache.org/jira/browse/COLLECTIONS-829",REF
accumulo,2243,Minor changes to compactable error message template,,REF
httpcomponents-client,501,HTTPCLIENT-2277: RFC 9111 conformance improvements / bug fixes,"Aligns the behavior of the caching protocol handlers with the specification requirements (sections 3 and 4 RFC 9111)
Improved normalization of variant header elements
Bug fixes",BUG
commons-collections,316,COLLECTIONS-823: Modified ArrayCountingBloomFilter.forEachBitMap to be more efficient,"Resolves https://issues.apache.org/jira/projects/COLLECTIONS/issues/COLLECTIONS-823
Modifies ArrayCountingBloomFilter.forEachBitmap() to be more efficient. by not creating an array of longs but building each long and calling the consumer in turn.",REF
opennlp,512,OPENNLP-1476 Modernize DictionaryEntryPersistor to create XMLReader via javax.xml.parsers.SAXParserFactory,"Notes:

I experienced a lower built-time when compared with the latest main branch (MacOS, M1)
main: ~ 60s, with this change/PR: ~ 55s

[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  55.863 s

Tasks
Thank you for contributing to Apache OpenNLP.
In order to streamline the review of the contribution we ask you
to ensure the following steps have been taken:
For all changes:


 Is there a JIRA ticket associated with this PR? Is it referenced
in the commit message?


 Does your PR title start with OPENNLP-XXXX where XXXX is the JIRA number you are trying to resolve? Pay particular attention to the hyphen ""-"" character.


 Has your PR been rebased against the latest commit within the target branch (typically main)?


 Is your initial contribution a single, squashed commit?


For code changes:

 Have you ensured that the full suite of tests is executed via mvn clean install at the root opennlp folder?
 Have you written or updated unit tests to verify your changes?
 If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under ASF 2.0?
 If applicable, have you updated the LICENSE file, including the main LICENSE file in opennlp folder?
 If applicable, have you updated the NOTICE file, including the main NOTICE file found in opennlp folder?

For documentation related changes:

 Have you ensured that format looks appropriate for the output in which it is rendered?

Note:
Please ensure that once the PR is submitted, you check GitHub Actions for build issues and submit an update to your PR as soon as possible.",REF
accumulo,2106,Make LogReader more discoverable,"Use the KeywordExecutable service to make wal-info (the WAL LogReader class) available as part of the Accumulo command line. Can be used by running:
accumulo wal-info
Closes #2100",REF
helix,1508,Fix ondemand rebalance flooding and log flooding caused by dangling jobs,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fixes #1506, #1507
Description

 Here are some details about my PR, including screenshots of any UI changes:

This PR fixes 2 issues:

Ondemand rebalance flooding after TF IS removal. This is caused by an old problem. A jobConfig can exist for the previous iterations of a workflow, but the job doesn't exist in the job DAG. Because of runtime DAG refresh logic, such a jobConfig will cause the runtime DAG to be refreshed every time the pipeline runs. A new runtime DAG causes all the jobs to be reprocessed, and during processing, the cleanup logic is run for every job that has already completed. Before IS removal, the cleanup logic attempts to delete the IS again, which has no effect; in the new code, an onDemand rebalance is triggered instead.
This ""dangling job"" will not be removed, so the job dag refresh keeps on happening, which causes the ondemand rebalances to keep on firing.
Log flooding for jobs that miss target resources after TF IS removal. Similarly, ""dangling jobs"" can have missing target resources once their target resources are deleted. Before IS removal, this is not a problem because this log is only triggered when the job is first processed; now, the processing logic happens every pipeline (since it's config based, instead of IS based), so the log could keep on firing.

Tests

 The following is the result of the ""mvn test"" command on the appropriate module:

[INFO] Tests run: 1237, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4,907.142 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 1237, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:21 h
[INFO] Finished at: 2020-11-03T13:22:54-08:00
[INFO] ------------------------------------------------------------------------

Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
accumulo,3481,Remove redundant main from zoo-info-viewer tool,"removes instanceName and instanceId as command line options
improves KeywordStartIT to check for methods that have a main in addition to verifying legacy utilities keep a main
small doc improvements clarifying main usage in tools",REF
accumulo,1765,Issue #1742 - Added forEach to ScannerBase. Added test in ScannerIT.,,REQ
accumulo,1795,Read/Write config files consistently,"Use UTF-8 for all FileReaders and FileWriters
Use an InputStreamReader instead of a FileReader for reading class
path resources identified with a URL rather than a file name
This fixes a failure in some ITs, including VolumeIT, which reads a
class path resource, rather than a file
Ensure PropertiesConfigurations use read() and write() instead of
less convenient getlayout() methods to load/save",REF
accumulo,2234,Create AccumuloDataVersion,"Move data version from ServerConstants to AccumuloDataVersion and added
javadoc description
Create AccumuloDataVersion.get() for getting data version
Move other constants from ServerConstants to Constants
Rename ServerConstants to ServerDirs",REF
accumulo,2339,"Update parent POM, plugins, LICENSE","Update Apache parent POM to 24

Take advantage of enforcer rules built-in to Apache parent POM

Use minimalJavaBuildVersion and minimalMavenBuildVersion properties
Remove redundant enforcer checks in our POM


Remove redundant version information and plugin definitions from
Apache POM that aren't overridden

Update build plugin versions to latest

Sort BOM dependencies in dependencyManagement before others (a change
in behavior with latest sortpom-maven-plugin that's not possible to
override, but this makes more sense anyway)
Sort sortpom-maven-plugin's options, ensure blank lines are removed (a
change in the default that is overridable), and ensure space before
the closing slash on empty elements to keep it consistent with other
plugins that update the POM
Update spotbugs-related Random issues (and minor Random tweaks)

Always assign SecureRandom objects to SecureRandom variables, so
spotbugs doesn't flag them as insecure Random usages
Allow SecureRandom objects to be reused using a static final
instance for many classes, to avoid one-off object uses (usually
private, except for a public instance for sharing across ITs)
While fixing Random-related spotbugs issues, apply naming
consistently
Remove use of explicit SHA1PRNG implementation of SecureRandom,
preferring non-blocking native implementation (default), and relying
on users to configure their SecureRandom provider through Java
security settings if they want something different from the default
Remove incorrect attempts to try to seed SecureRandom objects with a
predictable seed (SecureRandom default implementation isn't
predictable, even with a specific seed, since it uses the OS's
native random source)
Remove unneeded spotbugs warnings suppressions
Use a fixed-length stream of random numbers in several places where
a loop was used to iterate a fixed number of times and the loop
variable wasn't needed
For the rare cases where we use a predictable random with a known
seed for testing, pass the seed in the constructor to avoid useless
initiationalization steps to do the initial seed only to
reinitialize immediately with a call to setSeed



Fix pom/license issues related to micrometer (re #2305)

Move metrics-related dependency versions and transitive dependency
exclusions into project's parent pom's dependencyManagement section
Update LICENSE to include CC0 artifacts used for metrics dependencies
Remove property for micrometer version that is only used once for the
micrometer BOM

Other

Rename incorrect filename RolllingStatsTest.java to
RollingStatsTest.java to match the class name RollingStatsTest
Update AuthenticationTokenTest to use IntStream.allMatch to loop until
a byte array is generated that isn't all zeros, instead of using
assertFalse, which has a (rare) chance of failing the test
unnecessarily",REF
helix,2097,Clean up after TestAuthValidator --  fix TestClusterAccessor,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

#2096
#2093
Description

 Here are some details about my PR, including screenshots of any UI changes:

TestAuthValidator create 2 clusters testDefaultAuthValidator and testCustomAuthValidator. These 2 clusters are not cleaned up causing TestClusterAccessor. testGetClusters to fail.
Tests

 The following tests are written for this issue:

NA

The following is the result of the ""mvn test"" command on the appropriate module:
CU result:
testHelixViewAggregator(org.apache.helix.view.integration.TestHelixViewAggregator)
Link to issue: #2049
local run:

[INFO] Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 183.686 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 13, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] 
[INFO] --- jacoco-maven-plugin:0.8.6:report (generate-code-coverage-report) @ helix-view-aggregator ---
[INFO] Loading execution data file /Users/xialu/Documents/WorkSpace/helix/helix-view-aggregator/target/jacoco.exec
[INFO] Analyzed bundle 'Apache Helix :: View Aggregator' with 15 classes
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  03:09 min
[INFO] Finished at: 2022-05-27T22:28:57-07:00
[INFO] ------------------------------------------------------------------------


Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
accumulo,3366,Handle exceptions during tablet metadata task,"Make sure to catch and log any errors when the tablet metadata verification task runs to check tablet metadata so that errors do not cause the task and server to halt.
This closes #3346",BUG
